Please select your gender.,Please enter your current age.,How long is the Korean language learning period?,Where did you learn Korean? (Multiple choices possible),"If you selected 'Self-study', how did you learn Korean? (Multiple selections possible)",Have you ever taken the TOPIK exam?,How many times did you take the exam in total?,What is the most recent TOPIK you took?,What is the most recent TOPIK grade you took?,What is your purpose for taking the exam? (Multiple choices possible),Have you ever seen past TOPIK exam questions?,How did you study the past exam questions?,exam_time_sufficiency,question_count_rating,"	question_diversity_rating",instruction_clarity_score,listening_appropriateness_score,reading_appropriateness_score,writing_appropriateness_score,speaking_assessment_score,Please feel free to write down any suggestions you have regarding the exam.,
female,21,1 year 6 months to less than 2 years,"Self-study, Korean Education Center",Korean language learning application,does not exist,,,,,there is,TOPIK Homepage,2,3,4,4,4,4,4,3,"",
female,31,more than 2 years,university,Korean language learning book,there is,Number 2,TOPIK PBT,TOPIK II,Study in Korea,,,2,3,5,5,3,3,3,5,"",
male,28,more than 2 years,university,Korean language learning application,there is,6,TOPIK PBT,TOPIK II,Check your Korean skills,,,2,3,2,1,1,3,3,1,"",
female,25,6 months to 1 year,Korean Education Center,Korean language learning book,does not exist,,,,,does not exist,,,,,,,,,,"",
female,38,more than 2 years,university,,there is,2,TOPIK PBT,TOPIK II,Study in Korea,,,4,5,3,3,1,1,1,1,"I hope to reduce the exam time.",
female,18,6 months to 1 year,middle school,Korean language learning book,there is,1,TOPIK PBT,TOPIK I,"Admission to Vietnamese universities, studying in Korea",,,1,5,5,3,3,3,3,3,"",
female,21,more than 2 years,university,,there is,No. 1,TOPIK IBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,,2,3,4,4,4,4,4,3,"",
female,29,1 year to less than 1 year and 6 months,Korean Education Center,Korean online content,there is,1,TOPIK PBT,TOPIK II,"Vietnamese University Admission, Checking Korean Language Proficiency",,,1,4,1,1,4,5,1,1,"",
female,20,1 year 6 months to less than 2 years,"Universities, Korean Education Centers, Sejong Institute","Korean language learning books, help from Korean friends, online Korean content",there is,1,TOPIK PBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,,4,3,3,4,4,4,4,5,"",
female,34,more than 2 years,university,Korean language learning book,there is,I did a lot.,TOPIK PBT,TOPIK II,Employment,,,3,2,4,3,4,4,4,1,"doesn't exist",
female,20,more than 2 years,university,,does not exist,,,,,there is,"Online content, help from a Korean friend",3,4,4,4,3,3,3,4,"",
male,24,1 year to less than 1 year and 6 months,"Self-study, university, Korean Education Center","Korean language learning books, Korean online content",there is,2,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,2,3,4,4,3,5,5,1,"",
female,23,Less than 6 months," Self-study, Korean Education Center, YouTube","Korean language learning books, Korean online content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
male,33,Less than 6 months,"Self-study, Korean Education Center",Korean language learning book,does not exist,,,,,does not exist,,,,,,,,,,"",
female,22,6 months to 1 year,Korean Education Center,,there is,1,TOPIK PBT,TOPIK II,Check your Korean skills,,,2,4,5,5,1,1,3,3,"",
female,23,6 months to 1 year,Korean Education Center,"Korean online content, Korean learning application",does not exist,,,,,there is,Online content,1,4,4,3,4,4,1,3,"",
female,20,6 months to 1 year,"Self-study, Korean Education Center","Korean language learning books, help from a Korean friend",does not exist,,,,,does not exist,,,,,,,,,,"",
female,25,Less than 6 months,Korean Education Center,Korean language learning application,does not exist,,,,,does not exist,,,,,,,,,,"",
female,19,Less than 6 months,Sejong Institute,,does not exist,,,,,there is,"TOPIK website, Korean language learning books, Korean language learning apps",3,3,4,3,4,4,4,4,"",
male,24,more than 2 years,university,,there is,1,TOPIK PBT,TOPIK II,Study in Korea,,,3,3,3,4,4,3,3,3,"doesn't exist",
female,26,6 months to 1 year,Sejong Institute,Korean language learning book,does not exist,,,,,there is,TOPIK Homepage,2,3,3,3,3,3,4,1,"",
female,21,more than 2 years,"Self-study, Korean Education Center","Korean language learning books, Korean online content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
male,28,1 year to less than 1 year and 6 months,Korean Education Center,Korean online content,there is,2,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,3,3,5,5,5,5,5,5,"",
female,34,more than 2 years,"Self-study, Korean Education Center, Sejong Institute","Korean language learning books, Korean online content",there is,4,TOPIK PBT,TOPIK II,"Studying in Korea, Employment",,,4,5,4,3,1,3,3,1,"",
female,28,more than 2 years,Sejong Institute,"Korean language learning books, Korean online content, Korean language learning applications",there is,1,TOPIK IBT,TOPIK II,"Studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture",,,3,3,5,5,4,4,3,2,"",
male,21,more than 2 years,university,Korean language learning book,there is,1,TOPIK IBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,,2,4,4,3,1,3,3,4,"doesn't exist",
female,20,1 year 6 months to less than 2 years,"Universities, Korean Education Centers",Korean language learning book,does not exist,,,,,there is,Korean language learning book,2,1,5,1,2,3,1,2,"",
female,24,more than 2 years,"University, Sejong Institute","Korean language learning books, Korean online content, Korean language learning applications",there is,3rd,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,2,4,4,4,4,4,4,1,"doesn't exist",
male,25,more than 2 years,"Universities, Korean Education Centers",Korean language learning book,there is,Number 2,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,2,4,4,5,4,4,4,4,"I wish the reading time were a bit longer.",
female,26,more than 2 years,"Self-study, Korean Education Center, Sejong Institute","Korean language learning books, Korean online content",there is,5,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,,4,4,4,3,3,3,4,1,"The listening and reading tests have a large number of questions, and since the topics of each question are different, it can be difficult to keep up if you are not familiar with the question types in advance and the breaks in between are short.",
male,33,more than 2 years,Korean Education Center,"Korean language learning books, help from Korean friends, online Korean content",there is, 8 times or more,TOPIK IBT,TOPIK II,"Verification of Korean language proficiency, interest in the Korean language and culture, employment",,,2,4,3,3,3,3,3,4,"",
female,21,more than 2 years,university,,there is,2,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,1,3,3,3,3,3,3,3,"",
female,25,1 year to less than 1 year and 6 months,"Self-study, Korean Education Center",Korean online content,does not exist,,,,,there is,"Online content, help from a Korean friend",2,3,3,1,3,3,3,1,"",
female,30,6 months to 1 year,"Self-study, Korean Education Center","Korean language learning books, Korean online content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,28,Less than 6 months,"Self-study, Korean Education Center",Korean online content,does not exist,,,,,does not exist,,,,,,,,,,"",
female,20,more than 2 years,university,,does not exist,,,,,there is,TOPIK Homepage,3,3,4,3,4,4,4,1,"",
male,25,1 year 6 months to less than 2 years,university,Korean language learning book,there is,3,TOPIK IBT,TOPIK II,Study in Korea,,,1,3,2,3,3,2,2,2,"The writing questions were harder than I expected, and it took a long time to understand the topic and construct sentences. I hope the difficulty level is a bit lower for the next exam.",
female,30,Less than 6 months,"Self-study, Korean Education Center",Korean online content,does not exist,,,,,does not exist,,,,,,,,,,"",
female,24,1 year to less than 1 year and 6 months,"Self-study, Korean Education Center",Korean online content,does not exist,,,,,there is,"TOPIK website, Korean language learning books, online content",2,2,3,3,3,3,4,5,"",
female,27,1 year to less than 1 year and 6 months,Korean Education Center,Korean language learning application,does not exist,,,,,does not exist,,,,,,,,,,"",
female,39,6 months to 1 year,Korean Education Center,Korean online content,does not exist,,,,,does not exist,,,,,,,,,,"",
male,21,1 year to less than 1 year and 6 months,love of learning,Korean language learning book,there is,Double,TOPIK PBT,TOPIK II,"Vietnamese university admission, studying in Korea, verifying Korean language skills",,,1,1,5,5,5,5,5,5,"",
female,24,more than 2 years,"High school, university","Korean language learning books, Korean online content",there is,Number 4,TOPIK PBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language skills, employment",,,3,3,5,4,5,5,5,5,"",
female,26,more than 2 years,university,"Korean language learning books, help from a Korean friend",there is,3rd,TOPIK PBT,TOPIK II,Check your Korean skills,,,3,4,5,3,4,4,4,5,"doesn't exist",
female,34,1 year to less than 1 year and 6 months,"Universities, Korean Education Centers, Sejong Institute","Korean language learning books, help from Korean friends, online Korean content, Korean language learning applications",there is,1,TOPIK PBT,TOPIK I,"Studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture",,,2,3,4,4,1,4,4,1,"",
female,44,more than 2 years,university,"Korean language learning books, Korean online content",there is,I took the exam twice.,TOPIK PBT,TOPIK II,Check your Korean skills,,,4,4,5,3,5,5,5,5,"doesn't exist",
female,23,1 year 6 months to less than 2 years,Sejong Institute,,there is,Level 4,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,2,5,3,3,3,3,3,3,"",
female,23,6 months to 1 year,"Self-study, Korean Education Center, Sejong Institute","Korean language learning books, Korean online content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,21,Less than 6 months,Korean Education Center,,does not exist,,,,,does not exist,,,,,,,,,,"",
female,21,more than 2 years,university,"Korean language learning books, Korean online content",there is,More than 10 times,TOPIK PBT,TOPIK II,Check your Korean skills,,,3,3,5,3,1,1,3,3,"",
female,31,1 year to less than 1 year and 6 months,Korean Education Center,,there is,1,TOPIK PBT,TOPIK I,Check your Korean skills,,,3,3,2,1,1,3,3,3,"",
female,27,more than 2 years,university,,there is,I don't remember several times.,TOPIK PBT,TOPIK II,"Checking Korean language skills, employment",,,2,4,3,4,4,3,4,1,"",
male,33,more than 2 years,"Universities, Korean Education Centers",,there is,5,TOPIK PBT,TOPIK II,Check your Korean skills,,,4,4,4,5,1,5,1,2,"",
female,30,Less than 6 months,Sejong Institute,"Korean language learning books, help from Korean friends, online Korean content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,43,more than 2 years,university,Korean language learning book,there is,3,TOPIK PBT,TOPIK II,Check your Korean skills,,,2,3,4,4,4,4,4,4,"",
female,30,more than 2 years,university,,there is,4,TOPIK PBT,TOPIK II,Check your Korean skills,,,3,3,4,4,4,5,5,4,"",
female,24,Less than 6 months,Korean Education Center,,does not exist,,,,,does not exist,,,,,,,,,,"",
female,22,1 year to less than 1 year and 6 months,Korean Education Center,,does not exist,,,,,does not exist,,,,,,,,,,"",
female,28,more than 2 years,"Universities, Korean Education Centers",,there is,More than 5 times,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,2,4,3,3,3,3,3,2,"",
female,24,more than 2 years,university,Korean language learning book,there is,No. 2,TOPIK PBT,TOPIK II,Check your Korean skills,,,2,4,3,3,3,3,3,5,"",
male,20,more than 2 years,university,,there is,5,TOPIK PBT,TOPIK II,"Vietnamese university admission, studying in Korea, verifying Korean language skills",,,1,3,5,5,5,5,5,5,"I wish there were more exams in a year.",
female,24,more than 2 years,university,Korean language learning application,there is,many,TOPIK PBT,TOPIK I,"Studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture",,,5,3,5,5,4,4,3,3,"",
female,25,more than 2 years,university,,there is,It is number 5.,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,2,4,4,3,3,1,3,3,"The exam questions cover a wide range of topics and are numerous, so I wish the exam time were longer. Thank you.",
female,22,1 year to less than 1 year and 6 months,Korean Education Center,,does not exist,,,,,there is,"Korean language learning apps, online content",2,3,5,2,5,5,5,1,"",
female,31,more than 2 years,"Self-study, Korean Education Center","Korean language learning books, Korean language learning applications",there is,4,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,2,3,4,4,3,1,1,2,"No questions",
male,37,more than 2 years,university,"Korean language learning books, help from Korean friends, online Korean content",there is,5,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,2,4,4,4,4,4,4,4,"",
male,25,more than 2 years,university,Korean language learning book,there is,3rd,TOPIK PBT,TOPIK II,Study in Korea,,,3,3,5,3,4,4,4,4,"",
female,26,more than 2 years,university,,there is,5,TOPIK PBT,TOPIK II,Check your Korean skills,,,4,4,5,1,4,4,5,1,"",
female,26,1 year 6 months to less than 2 years,university,,there is,3,TOPIK PBT,TOPIK II,Study in Korea,,,3,3,4,3,3,3,3,1,".",
female,29,more than 2 years,love of learning,"Korean language learning books, Korean online content, Korean language learning applications",there is, No. 7,TOPIK PBT,TOPIK II,Check your Korean skills,,,2,4,5,4,4,4,4,4,"",
female,26,1 year to less than 1 year and 6 months,Korean Education Center,"Korean language learning books, help from Korean friends, online Korean content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,22,more than 2 years,university,"Korean language learning books, Korean online content, Korean language learning applications",there is,1,TOPIK PBT,TOPIK II,"Checking Korean language skills, employment",,,2,3,4,3,3,3,3,3,"",
female,28,more than 2 years,university,"Korean language learning books, Korean language learning applications",there is,3,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,4,4,5,3,3,3,4,1,"",
female,20,Less than 6 months,"Universities, Korean Education Centers",,does not exist,,,,,there is,"TOPIK website, Korean language learning books",4,3,3,3,4,3,3,3,"",
female,16,6 months to 1 year,high school,Korean language learning book,does not exist,,,,,there is,TOPIK Homepage,1,5,5,1,5,5,5,3,"",
female,37,more than 2 years,"Universities, Korean Education Centers","Korean language learning books, Korean online content",there is,7,TOPIK PBT,TOPIK II,Check your Korean skills,,,2,3,3,4,3,3,3,5,"I would like to see test questions about daily life.",
female,23,6 months to 1 year,university,,there is,10,TOPIK PBT,TOPIK II,Study in Korea,,,1,4,4,5,3,4,4,4,"",
female,46,more than 2 years,university,,there is,3rd,TOPIK IBT,TOPIK II,Check your Korean skills,,,4,3,4,4,3,4,4,3,"The exam venues are inconvenient these days, so I would appreciate it if you could make it a bit more comfortable.",
male,37,more than 2 years,university,,there is,No. 2,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,,2,4,4,5,3,3,1,1,"",
female,19,1 year 6 months to less than 2 years,love of learning,"Korean language learning books, Korean online content",does not exist,,,,,there is,"Korean language learning books, online content",1,3,3,3,1,3,3,3,"",
female,25,6 months to 1 year,Korean Education Center,,does not exist,,,,,does not exist,,,,,,,,,,"",
female,20,more than 2 years,university,Help from a Korean friend,does not exist,,,,,does not exist,,,,,,,,,,"",
female,28,more than 2 years,"Korean Education Center, Sejong Institute",,there is,2,TOPIK IBT,TOPIK I,"Checking Korean language proficiency, interest in the Korean language and culture",,,2,5,4,3,5,5,5,1,"doesn't exist",
female,21,6 months to 1 year,Korean Education Center,"Korean language learning books, help from a Korean friend",does not exist,,,,,does not exist,,,,,,,,,,"",
female,22,more than 2 years,love of learning,Korean online content,there is,No. 1,TOPIK PBT,TOPIK II,Employment,,,2,3,4,3,3,4,3,3,"",
male,23,more than 2 years,university,"Korean language learning books, help from Korean friends, online Korean content, Korean language learning applications",there is,10,TOPIK PBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, marriage and migration, employment",,,1,5,2,2,2,2,2,2,"",
female,30,more than 2 years," Korean Education Center,",,there is,1,TOPIK PBT,TOPIK II,Employment,,,3,4,3,3,3,3,3,3,"doesn't exist",
female,20,1 year to less than 1 year and 6 months,university,Korean online content,there is,2,TOPIK PBT,TOPIK II,"Studying in Korea, interest in the Korean language and culture",,,5,5,3,2,3,3,2,3,"",
female,21,6 months to 1 year,Korean Education Center,"Korean language learning books, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,20,more than 2 years,"High school, university","Korean language learning books, Korean online content",there is,5,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,2,5,3,5,4,1,4,1,"",
male,30,6 months to 1 year,love of learning,Korean language learning book,there is,99,TOPIK PBT,TOPIK I,Check your Korean skills,,,2,2,4,3,3,4,4,3,"",
female,39,Less than 6 months,university,Korean language learning book,there is,99,TOPIK PBT,TOPIK I,Check your Korean skills,,,4,4,5,4,4,4,4,2,"",
female,20,more than 2 years,"Self-study, Korean Education Center","Korean language learning books, Korean online content",does not exist,,,,,does not exist,,,,,,,,,,"",
female,29,Less than 6 months,Korean Education Center,,does not exist,,,,,does not exist,,,,,,,,,,"",
female,26,more than 2 years,"Self-taught, university",Korean language learning book,there is,I did it about four times.,TOPIK PBT,TOPIK II,"Checking Korean language skills, employment",,,2,4,5,5,5,4,1,1,"As for the writing section, there were 54 questions with such a wide variety of topics that it was difficult to write not only in Korean but also in Vietnamese. Since I need time to think, it would be great if the time allotted for the writing section could be increased.",
female,30,1 year 6 months to less than 2 years,Korean language academy,"Korean language learning books, Korean language learning applications",there is,No. 1,TOPIK PBT,TOPIK II,"Verification of Korean language proficiency, interest in the Korean language and culture, employment",,,2,5,5,4,5,5,5,1,"",
female,22,Less than 6 months,love of learning,Korean language learning book,does not exist,,,,,does not exist,,,,,,,,,,,
female,23,6 months to 1 year,"Self-study, Korean Education Center, Sejong Institute",,does not exist,,,,,does not exist,,,,,,,,,,"",
female,22,1 year to less than 1 year and 6 months,Korean Education Center,,there is,2,TOPIK PBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,TOPIK Homepage,3,3,5,5,3,4,5,,"",
female,33,6 months to 1 year,Korean Education Center,Korean language learning book,there is,3,TOPIK PBT,TOPIK II,Check your Korean skills,,,1,3,5,5,4,4,3,3,"",
male,34,1 year to less than 1 year and 6 months,Korean Education Center,Korean language learning application,there is,It is number 5.,TOPIK PBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,,2,5,3,,3,,1,,".",
female,28,more than 2 years,university,Korean online content,there is,No. 2,TOPIK PBT,TOPIK II,Employment,,,2,4,,4,4,4,4,,"doesn't exist",
female,20,1 year 6 months to less than 2 years,"Universities, Korean Education Centers",Korean language learning book,there is,1,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,4,,,1,5,5,2,,"doesn't exist",
female,37,more than 2 years,university,"Korean language learning books, Korean online content",there is,6,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,1,,4,3,,3,4,1,"",
female,29,more than 2 years,Korean Education Center,,there is,I don't remember several times.,TOPIK PBT,TOPIK II,"Checking Korean language skills, employment",,,,1,3,4,,4,,5,"",
female,26,more than 2 years,Korean Education Center,Korean language learning book,there is,5,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,4,3,4,3,4,3,3,1,"",
female,37,more than 2 years,university,Korean language learning book,there is,Number 4,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture",,,,3,4,,,4,3,,"No questions",
female,30,Less than 6 months,Korean Education Center,"Korean language learning books, Korean online content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,21,1 year 6 months to less than 2 years,Korean language academy,Korean language learning book,there is,No. 1,TOPIK PBT,TOPIK I,"Studying in Korea, Checking Korean Language Skills",,,3,,,3,,5,3,3,"",
female,17,1 year 6 months to less than 2 years,Korean Education Center,"Korean language learning books, help from Korean friends, online Korean content, Korean language learning applications",does not exist,,,,,there is,"TOPIK website, Korean language learning books",3,,2,,2,,3,5,"",
female,25,1 year to less than 1 year and 6 months,university,Korean language learning book,there is,1,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,1,3,4,3,4,3,4,4,"",
female,33,Less than 6 months,love of learning,Korean online content,does not exist,,,,,does not exist,,,,,,,,,,"",
male,26,Less than 6 months,Sejong Institute,"Korean language learning books, Korean online content, Korean language learning applications",there is,1,TOPIK PBT,TOPIK II,Study in Korea,,,1,3,,,1,,,3,"",
female,30,more than 2 years,university,,there is,3,TOPIK PBT,TOPIK II,Study in Korea,,,,4,5,4,,4,3,1,"",
female,21,1 year to less than 1 year and 6 months,"High school, university","Korean language learning books, Korean online content",there is,3rd,TOPIK PBT,TOPIK II,Check your Korean skills,,,,,3,,,4,4,5,"",
female,22,1 year to less than 1 year and 6 months,university,,does not exist,,,,,there is,TOPIK Homepage,4,,,4,3,3,,3,"",
female,21,1 year 6 months to less than 2 years,Korean Education Center,,does not exist,,,,,does not exist,,,,,,,,,,"",
female,20,1 year 6 months to less than 2 years,"High school, university","Korean online content, Korean learning application",does not exist,,,,,there is,"Korean language learning books, Korean language learning apps, online content",2,,2,1,5,,1,3,"",
female,30,more than 2 years,university,Korean language learning book,there is,4,TOPIK PBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea",does not exist,,2,3,,3,3,3,3,1,"",
female,30,more than 2 years,"High school, university","Korean language learning books, help from Korean friends, online Korean content, Korean language learning applications",there is,2,TOPIK PBT,TOPIK II,Check your Korean skills,,,3,3,5,,5,5,3,4,"",
female,25,1 year to less than 1 year and 6 months,university,"Korean language learning books, Korean online content, Korean language learning applications",there is,2,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,1,3,,4,,4,3,3,"",
female,24,more than 2 years,university,Korean language learning book,there is,6,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,3,3,,3,5,4,4,1,"",
female,39,more than 2 years,university,Korean online content,there is,I don't remember several times.,TOPIK PBT,TOPIK II,"Checking Korean language proficiency, interest in the Korean language and culture",,,,3,,3,3,3,3,1,"IIG'S Supervisors are not good",
female,24,6 months to 1 year,Korean Education Center,,does not exist,,,,,does not exist,,,,,,,,,,"",
female,27,more than 2 years,"Self-study, Korean Education Center, Sejong Institute",Korean language learning book,there is,99,TOPIK PBT,TOPIK II,Check your Korean skills,,,2,3,5,3,3,3,3,2,"",
female,25,Less than 6 months,"Self-study, Korean Education Center",Korean language learning book,does not exist,,,,,there is,"TOPIK website, Korean language learning books, Korean language learning apps",,3,4,4,,4,3,,"",
female,28,Less than 6 months,university,Help from a Korean friend,does not exist,,,,,does not exist,,,,,,,,,,"",
female,24,more than 2 years,university,,there is,Double,TOPIK PBT,TOPIK II,"Vietnamese university admission, studying in Korea, verifying Korean language skills",,,1,3,,,2,2,1,1,"",
female,20,Less than 6 months,"University, Sejong Institute","Korean language learning books, help from Korean friends, online Korean content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,20,more than 2 years,university,Korean language learning application,there is,2,TOPIK PBT,TOPIK II,Study in Korea,,,3,3,3,,4,4,3,3,"",
female,24,Less than 6 months,university,"Korean language learning books, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,33,6 months to 1 year,Korean Education Center,,does not exist,,,,,,,,,5,5,,5,5,4,"",
female,26,Less than 6 months,"University, Sejong Institute","Korean language learning books, Korean online content",does not exist,,,,,does not exist,,,,,,,,,,"",
female,19,1 year to less than 1 year and 6 months,"Universities, Korean Education Centers",,there is,1,TOPIK PBT,TOPIK I,"Studying in Korea, verifying Korean language skills, employment",,,,3,4,1,,,3,3,"",
female,25,6 months to 1 year,university,Korean language learning book,there is,2,TOPIK PBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,,,,4,4,4,4,,3,"",
female,25,1 year to less than 1 year and 6 months,Korean Education Center,Korean language learning book,there is,Number 2,TOPIK PBT,TOPIK II,"Admission to Vietnamese universities, studying in Korea, verifying Korean language proficiency, interest in the Korean language and culture, employment",,,2,4,,4,3,4,5,1,"I wish the reading time were a bit longer.",
female,20,6 months to 1 year,"Universities, Korean Education Centers, Sejong Institute","Korean language learning books, Korean online content",does not exist,,,,,does not exist,,,,,,,,,,"",
female,18,more than 2 years,Korean Education Center,"Korean language learning books, help from Korean friends, online Korean content",there is,5,TOPIK PBT,TOPIK II,"Studying in Korea, verifying Korean language skills, employment",,,,,3,1,,4,4,1,"",
male,27,more than 2 years,university,Korean online content,there is,3rd,TOPIK IBT,TOPIK II,"Checking Korean language skills, employment",,,,5,,,5,1,5,1,"As for the writing section, there were 54 questions with such a wide variety of topics that it was difficult to write not only in Korean but also in Vietnamese. Since I need time to think, it would be great if the time allotted for the writing section could be increased.",
